del_prop,prevlence,es,data,power
1,0.2,1.2,hrc_topmed_exome_cadd,0.0959119496855346
0.5,0.2,1.5,hrc_topmed_exome_cadd,0.163522012578616
0.75,0.2,1.5,hrc_topmed_exome_cadd,0.305345911949686
1,0.2,1.5,hrc_topmed_exome_cadd,0.433333333333333
0.5,0.2,1.8,hrc_topmed_exome_cadd,0.265408805031447
0.75,0.2,1.8,hrc_topmed_exome_cadd,0.436792452830189
1,0.2,1.8,hrc_topmed_exome_cadd,0.538679245283019
0.5,0.1,1.2,topmed,0.0610062893081761
0.75,0.1,1.2,topmed,0.123899371069182
1,0.1,1.2,topmed,0.192452830188679
0.5,0.1,1.5,topmed,0.232389937106918
0.75,0.1,1.5,topmed,0.362893081761006
1,0.1,1.5,topmed,0.455974842767296
0.5,0.1,1.8,topmed,0.318867924528302
0.75,0.1,1.8,topmed,0.432075471698113
1,0.1,1.8,topmed,0.499056603773585
0.5,0.2,1.2,topmed,0.0660377358490566
0.75,0.2,1.2,topmed,0.128301886792453
1,0.2,1.2,topmed,0.200943396226415
0.5,0.2,1.5,topmed,0.229559748427673
0.75,0.2,1.5,topmed,0.360062893081761
1,0.2,1.5,topmed,0.460062893081761
0.5,0.2,1.8,topmed,0.313836477987421
0.75,0.2,1.8,topmed,0.426100628930818
1,0.2,1.8,topmed,0.498427672955975
0.5,0.1,1.2,topmed_cadd,0.00911949685534591
0.75,0.1,1.2,topmed_cadd,0.0251572327044025
1,0.1,1.2,topmed_cadd,0.0462264150943396
0.5,0.1,1.5,topmed_cadd,0.0827044025157233
0.75,0.1,1.5,topmed_cadd,0.122012578616352
1,0.1,1.5,topmed_cadd,0.174213836477987
0.5,0.1,1.8,topmed_cadd,0.107547169811321
0.75,0.1,1.8,topmed_cadd,0.163836477987421
1,0.1,1.8,topmed_cadd,0.193081761006289
0.5,0.2,1.2,topmed_cadd,0.00880503144654088
0.75,0.2,1.2,topmed_cadd,0.0267295597484277
1,0.2,1.2,topmed_cadd,0.0487421383647799
0.5,0.2,1.5,topmed_cadd,0.0811320754716981
0.75,0.2,1.5,topmed_cadd,0.128930817610063
1,0.2,1.5,topmed_cadd,0.170440251572327
0.5,0.2,1.8,topmed_cadd,0.107232704402516
0.75,0.2,1.8,topmed_cadd,0.155345911949686
1,0.2,1.8,topmed_cadd,0.185220125786164
